LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899356.010907,298943.000,46637,1,EL,1,100,-18832.000000
1742899356.077407,299009.500,46654,2,EL,1,100,-18832.199219
1742899356.143908,299076.000,46654,2,EL,1,100,-18832.000000
1742899356.210409,299142.500,46673,2,EL,1,100,-18832.199219
1742899356.276910,299209.000,46673,2,EL,1,100,-18832.400391
1742899356.343910,299276.000,46690,1,EL,1,100,-18832.000000
1742899356.410411,299342.500,46704,2,EL,1,100,-18832.800781
1742899356.476912,299409.000,46704,2,EL,1,100,-18833.000000
1742899356.543912,299476.000,46721,1,EL,1,100,-18833.400391
1742899356.610413,299542.500,46738,2,EL,1,100,-18834.000000
1742899356.676914,299609.000,46738,2,EL,1,100,-18834.000000
1742899356.743915,299676.000,46755,1,EL,1,100,-18834.800781
1742899356.810415,299742.500,46769,2,EL,1,100,-18835.800781
1742899356.876916,299809.000,46769,2,EL,1,100,-18835.599609
1742899356.943917,299876.000,46789,1,EL,1,100,-18836.000000
1742899357.010417,299942.500,46805,2,EL,1,100,-18836.599609
1742899357.076918,300009.000,46805,2,EL,1,100,-18837.000000
1742899357.143919,300076.000,46822,1,EL,1,100,-18837.000000
1742899357.210419,300142.500,46837,2,EL,1,100,-18838.199219
1742899357.276920,300209.000,46837,2,EL,1,100,-18838.199219
1742899357.343921,300276.000,46854,1,EL,1,100,-18838.800781
1742899357.410422,300342.500,46870,2,EL,1,100,-18839.199219
1742899357.476922,300409.000,46870,2,EL,1,100,-18839.599609
1742899357.543923,300476.000,46895,2,EL,1,100,-18840.000000
1742899357.610924,300543.000,46895,2,EL,1,100,-18840.800781
1742899357.677424,300609.500,46913,2,EL,1,100,-18840.800781
1742899357.743925,300676.000,46913,2,EL,1,100,-18841.000000
